"","Bat_Index","Bat_ID","General.Location","Site.Name","Date","Julian.Day","Year","Site_Net","Net_UTMx","Net_UTMy","Species","Sex","Reprod","Mass..g.","RFA..mm.","Age","WingScore.","forage_radius","fnet_id","open_water","developed_open","developed_low","developed_medium","developed_high","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herb","pasture_hay","crop","woody_wet","herb_wet","total_area","COI_ID","s16_ID","dominant_veg","SexReprod","gmm_8cluster","max.depth","raw.richness","rel.richness","prop.richness","ed.richness","log.ed.richness","clr.richness","evenness","Geo.Section","Geo.Sub.Section"
"MLG16_1_0136","M-0136","M-0136","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net3",535318,5172505,"MYSE","M","NR",5.75,"34.9","A","0",275.352,"535318_5172505_275.352",0,0,0,0,0,0,0,110,8,0,2,0,0,137,9,266,"not included","MLG16_1_0136","woody_wet","Male Non-Reproductive",1,18853,499,0.0264679361374848,0.539535187850831,99,6.62935662007961,1.56815766332612,0.628411952093234,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0137","F-0137","F-0137","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net2",535271,5172353,"MYLU","F","NR",7.8,"37.5","A","0",418.0344,"535271_5172353_418.0344",1,0,0,0,0,0,19,291,36,7,2,0,0,231,17,604,"MLGANML_1_0137","MLG16_1_0137","evergreen_forest","Female Non-Reproductive",1,4801,58,0.0120808164965632,0.246261195584253,37,5.20945336562895,0.436629923869877,0.342128316143722,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0140","M-0140","M-0140","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net1",535503,5172480,"MYLU","M","NR",6.5,"37","A","1",418.0344,"535503_5172480_418.0344",2,0,0,0,0,0,2,344,26,0,2,0,0,219,11,606,"MLGANML_1_0140","MLG16_1_0140","evergreen_forest","Male Non-Reproductive",1,27940,325,0.0116320687186829,0.237113704243082,37,5.20945336562895,0.382019657019894,0.318558119344004,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0141","M-0141","M-0141","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net1",535503,5172480,"EPFU","M","NR",20.2,"44.8","A","0",405.7866,"535503_5172480_405.7866",2,0,0,0,0,0,1,335,22,0,2,0,0,205,10,577,"MLGANML_1_0141","MLG16_1_0141","evergreen_forest","Male Non-Reproductive",1,38612,160,0.00414378949549363,0.0844690055262434,44,5.4594316186373,-1.10706541928332,0.634484140935091,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0142","F-0142","F-0142","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net2",535271,5172353,"MYSE","F","P",6.5,"35.8","A","0",275.352,"535271_5172353_275.352",1,0,0,0,0,0,0,130,16,0,1,0,0,117,0,265,"MLGANML_1_0142","MLG16_1_0142","evergreen_forest","Female Reproductive",1,41278,209,0.00506322980764572,0.103211320716889,50,5.64385618977472,-0.817958169119964,0.663617430203326,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0145","M-0145","M-0145","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net2",535271,5172353,"EPFU","M","NR",20.5,"46.8","A","1",405.7866,"535271_5172353_405.7866",1,0,0,0,0,0,17,279,36,6,2,0,0,219,15,575,"MLGANML_1_0145","MLG16_1_0145","evergreen_forest","Male Non-Reproductive",1,39658,254,0.00640476070401937,0.130557734144174,62,5.95419631038687,-0.478871465954806,0.612847227253312,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0146","M-0146","M-0146","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net2",535271,5172353,"EPFU","M","NR",20.5,"48.3","A","1",405.7866,"535271_5172353_405.7866",1,0,0,0,0,0,17,279,36,6,2,0,0,219,15,575,"MLGANML_1_0146","MLG16_1_0146","evergreen_forest","Male Non-Reproductive",1,40043,179,0.00447019454086857,0.0911226035460156,37,5.20945336562895,-0.997678517042955,0.68953863819449,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0147","F-0147","F-0147","Cloquet Forestry Center","CFC North","6/6/16",158,2016,"CFC North_Net1",535503,5172480,"MYLU","F","P",9.5,"37.9","A","0",418.0344,"535503_5172480_418.0344",2,0,0,0,0,0,2,344,26,0,2,0,0,219,11,606,"MLGANML_1_0147","MLG16_1_0147","evergreen_forest","Female Reproductive",1,22951,203,0.00884493050411747,0.180299333362381,54,5.75488750216347,-0.0131653277619543,0.406153592713711,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0149","F-0149","F-0149","Cloquet Forestry Center","CFC-East","6/8/16",160,2016,"CFC-East_Net1",536459,5171097,"MYSE","F","P",10,"38.8","A","0",275.352,"536459_5171097_275.352",1,0,0,0,0,0,23,197,44,0,0,0,0,0,0,265,"MLGANML_1_0149","MLG16_1_0149","evergreen_forest","Female Reproductive",1,34698,292,0.0084154706323131,0.171545016010065,63,5.97727992349992,-0.0849721792237261,0.553075225835938,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0150","M-0150","M-0150","Cloquet Forestry Center","CFC-East","6/8/16",160,2016,"CFC-East_Net1",536459,5171097,"MYSE","M","NR",6.5,"35.5","A","1",275.352,"536459_5171097_275.352",1,0,0,0,0,0,23,197,44,0,0,0,0,0,0,265,"MLGANML_1_0150","MLG16_1_0150","evergreen_forest","Male Non-Reproductive",1,12319,158,0.0128257163730822,0.261445594274054,60,5.90689059560852,0.522951368618708,0.696204431948212,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0151","M-0151","M-0151","Cloquet Forestry Center","CFC-East","6/8/16",160,2016,"CFC-East_Net1",536459,5171097,"MYSE","M","NR",7,"35.9","A","0",275.352,"536459_5171097_275.352",1,0,0,0,0,0,23,197,44,0,0,0,0,0,0,265,"MLGANML_1_0151","MLG16_1_0151","evergreen_forest","Male Non-Reproductive",1,31840,253,0.00794597989949749,0.161974690261653,76,6.24792751344359,-0.167790991335799,0.768990961192733,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0152","M-0152","M-0152","Cloquet Forestry Center","CFC-East","6/8/16",160,2016,"CFC-East_Net1",536459,5171097,"EPFU","M","NR",18,"48","A","1",405.7866,"536459_5171097_405.7866",1,0,0,0,0,0,51,340,127,0,0,0,0,56,0,575,"MLGANML_1_0152","MLG16_1_0152","evergreen_forest","Male Non-Reproductive",1,58261,260,0.00446267657609722,0.0909693537227541,73,6.18982455888002,-1.00010688143151,0.718955098603179,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0155","F-0155","F-0155","Cloquet Forestry Center","CFC-East","6/8/16",160,2016,"CFC-East_Net1",536459,5171097,"MYSE","F","P",8.5,"39.7","A","1",275.352,"536459_5171097_275.352",1,0,0,0,0,0,23,197,44,0,0,0,0,0,0,265,"MLGANML_1_0155","MLG16_1_0155","evergreen_forest","Female Reproductive",1,38375,155,0.00403908794788274,0.0823347186341682,39,5.28540221886225,-1.14398657535713,0.721677986101255,"Northern Superior Uplands","North Shore Highlands"
"MLG16_1_0156","M-0156","M-0156","Cloquet Forestry Center","CFC-East","6/9/16",161,2016,"CFC-East_Net2",536344,5170993,"EPFU","M","NR",20,"47.6","A","0",405.7866,"536344_5170993_405.7866",1,0,0,0,0,0,34,389,88,0,0,0,0,61,0,573,"MLGANML_1_0156","MLG16_1_0156","evergreen_forest","Male Non-Reproductive",1,16652,251,0.015073264472736,0.307260699760617,61,5.93073733756289,0.755903860211455,0.621635412947104,"Northern Superior Uplands","North Shore Highlands"
